notebook,source_table,source_column,destination_table,destination_column,transformation_type,transformation_expr
./closed_contract.ipynb,v2_repayment_history (amft.db),_LITERAL_,closed_contract (amft.db),closed_date,LITERAL,to_timestamp(lit(date_key
./closed_contract.ipynb,v2_repayment_history (amft.db),contract_id,closed_contract (amft.db),contract_id,DIRECT,
./closed_contract.ipynb,v2_repayment_history (amft.db),_LITERAL_,closed_contract (amft.db),rn,LITERAL,row_number(
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),amount,collection_payment_data_cash_loan (amft.db),amount,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),claim,collection_payment_data_cash_loan (amft.db),claim,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),current_dpd,collection_payment_data_cash_loan (amft.db),collection_group,CONDITIONAL,"when((col(""current_dpd"") >= -5) & (col(""current_dpd"") <= 0), lit(""B0"""
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),contract_id,collection_payment_data_cash_loan (amft.db),contract_id,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),created_date,collection_payment_data_cash_loan (amft.db),created_date,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),current_dpd,collection_payment_data_cash_loan (amft.db),current_dpd,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),current_paid,collection_payment_data_cash_loan (amft.db),current_paid,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),amount,collection_payment_data_cash_loan (amft.db),current_paid,EXPRESSION,"col(""paid_amount"")-col(""amount"""
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),paid_amount,collection_payment_data_cash_loan (amft.db),current_paid,EXPRESSION,"col(""paid_amount"")-col(""amount"""
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),data_date_key,collection_payment_data_cash_loan (amft.db),data_date_key,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),_LITERAL_,collection_payment_data_cash_loan (amft.db),data_date_key,LITERAL,lit(dk
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),disbursed_date,collection_payment_data_cash_loan (amft.db),disbursed_date,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),district,collection_payment_data_cash_loan (amft.db),district,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),dob,collection_payment_data_cash_loan (amft.db),dob,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),dpd,collection_payment_data_cash_loan (amft.db),dpd_risk_group,CONDITIONAL,when(col('dpd'
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),due_number,collection_payment_data_cash_loan (amft.db),due_number,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),gender,collection_payment_data_cash_loan (amft.db),gender,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),installment_end_date,collection_payment_data_cash_loan (amft.db),installment_end_date,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),_LITERAL_,collection_payment_data_cash_loan (amft.db),installment_end_month,LITERAL,"date_format('installment_end_date','yyyyMM'"
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),installment_start_date,collection_payment_data_cash_loan (amft.db),installment_start_date,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),loan_amount,collection_payment_data_cash_loan (amft.db),loan_amount,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),loan_id,collection_payment_data_cash_loan (amft.db),loan_id,DIRECT,
./Collection_payment_data_cash_loan.ipynb,v2_repayment_current (amft.db),loan_payback_id,collection_payment_data_cash_loan (amft.db),loan_payback_id,DIRECT,
