notebook,source_table,source_column,destination_table,destination_column,transformation_type,transformation_expr
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),account_id,batch_collection_tag_txn_data (vc_data_dwh.db),account_id,GROUPBY,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),_LITERAL_,batch_collection_tag_txn_data (vc_data_dwh.db),date_key,LITERAL,lit(date_key
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),due_date,batch_collection_tag_txn_data (vc_data_dwh.db),due_date,DATE_EXPR,"date_format(to_timestamp(col(""due_date""),""yyyy-MM-dd HH:mm:ss""), ""yyyyMMdd"""
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),grace_date,batch_collection_tag_txn_data (vc_data_dwh.db),grace_date,DATE_EXPR,"date_format(to_timestamp(col(""grace_date""),""yyyy-MM-dd HH:mm:ss""), ""yyyyMMdd"""
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),invoice_date,batch_collection_tag_txn_data (vc_data_dwh.db),invoice_date,DATE_EXPR,"date_format(col(""invoice_date""), ""yyyyMMdd"""
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),penalty_date,batch_collection_tag_txn_data (vc_data_dwh.db),penalty_date,DATE_EXPR,"date_format(to_timestamp(col(""penalty_date""),""yyyy-MM-dd HH:mm:ss""), ""yyyyMMdd"""
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),split_hash,batch_collection_tag_txn_data (vc_data_dwh.db),split_hash,GROUPBY,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),start_date,batch_collection_tag_txn_data (vc_data_dwh.db),start_date,DATE_EXPR,"date_format(to_timestamp(col(""start_date""),""yyyy-MM-dd HH:mm:ss""), ""yyyyMMdd"""
./dw_card/Migrate_history_2.ipynb,blacklist_check_parquet (vc_data_dwh.db),HIT,blacklist_check (vc_data_dwh.db),HIT,DIRECT,
./dw_card/Migrate_history_2.ipynb,blacklist_check_parquet (vc_data_dwh.db),highest_bad,blacklist_check (vc_data_dwh.db),HIT,CONDITIONAL,"when(col('highest_bad')>2,lit(1"
