notebook_name,source_table,source_type,destination_table,destination_type
/home/jupyter/notebook.home/etl_data/dop/dm_error_code_daily_v1.ipynb,,,dm_check_rule_risk (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/dm_performance_lead_init_test.ipynb,dim_step_description (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_performance_lead_init_test.ipynb,dop_customer_log_step (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_approval_time_daily.ipynb,,,dm_approval_time (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/dim_step_description_init.ipynb,dop_step_description (dlc_data.db),PARQUET,dim_step_description (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/dim_step_description_init.ipynb,dim_step_description_fiza_v2 (dlc_data.db),CSV,,
/home/jupyter/notebook.home/etl_data/dop/dim_product.ipynb,dop_customer_loan (dlc_data.db),PARQUET,dim_product (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/dim_source_init.ipynb,dop_customer_log_step (dlc_data.db),PARQUET,dim_source (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/dim_source_init.ipynb,dop_source (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_performance_lead_init.ipynb,dim_step_description (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_performance_lead_init.ipynb,dop_customer_log_step (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_performance_lead_init.ipynb,topi_customer_info_logs (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/dm_error_code_daily.ipynb,,,dm_check_rule_risk (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_init.ipynb,dop_customer_log_step (dlc_data.db),PARQUET,fact_customer_log_step (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_init.ipynb,dim_source (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_init.ipynb,dim_step_description (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_daily.ipynb,dop_customer_log_step (dlc_data.db),PARQUET,fact_customer_log_step (dlc_data.db),PARQUET
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_daily.ipynb,dim_source (dlc_data.db),PARQUET,,
/home/jupyter/notebook.home/etl_data/dop/fact_customer_log_step_daily.ipynb,dim_step_description (dlc_data.db),PARQUET,,
