notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_card_customer_dim.ipynb,,,dw_cms_customer_address (vc_data_dwh.db),PARQUET
./dw_card/dw_card_customer_dim.ipynb,,,dw_card_customer_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_card_txn_by_customers_fct.ipynb,dw_card_transaction_fct (vc_data_dwh.db),PARQUET,dw_card_txn_by_customers_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_txn_by_customers_fct.ipynb,process_acct_mapping_channel_orig (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_txn_by_customers_fct.ipynb,dw_card_txn_by_customers_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_crd_debt (vc_cms.db),PARQUET,dw_card_loan_payment_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_crd_debt_payment (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_acc_account (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_opr_operation (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_crd_payment (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,dw_vcas_application_branch_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,dw_application_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,bo_crd_invoice_payment (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_payment_fct_daily.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,dw_coll_full_invoice_account_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_coll_full_invoice_account_fct.ipynb,bo_acc_account (vc_cms.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,bo_fcl_cycle_counter (vc_cms.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,bo_cst_cfc_periodic_mad (vc_cms.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,bo_acc_balance (vc_cms.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,dw_card_loan_payment_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,dw_application_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,dw_customer_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_coll_full_invoice_account_fct.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
